Region,Country,City,Day,AvgTemperature
Asia,Japan,Tokyo,1,59.1
Asia,Japan,Tokyo,2,62.3
Asia,Japan,Tokyo,3,64.1
Asia,Japan,Tokyo,4,59.6
Asia,Japan,Tokyo,5,57.0
Asia,Japan,Tokyo,6,60.4
Asia,Japan,Tokyo,7,64.0
Asia,Japan,Tokyo,8,62.5
Asia,Japan,Tokyo,9,59.0
Asia,Japan,Tokyo,10,62.1
Asia,Japan,Tokyo,11,59.5
Asia,Japan,Tokyo,12,55.1
Asia,Japan,Tokyo,13,56.8
Asia,Japan,Tokyo,14,56.2
Asia,Japan,Tokyo,15,56.7
Asia,Japan,Tokyo,16,53.7
Asia,Japan,Tokyo,17,53.1
Asia,Japan,Tokyo,18,53.5
Asia,Japan,Tokyo,19,48.9
Asia,Japan,Tokyo,20,46.6
Asia,Japan,Tokyo,21,48.2
Asia,Japan,Tokyo,22,48.7
Asia,Japan,Tokyo,23,53.4
Asia,Japan,Tokyo,24,50.3
Asia,Japan,Tokyo,25,50.5
Asia,Japan,Tokyo,26,58.8
Asia,Japan,Tokyo,27,53.8
Asia,Japan,Tokyo,28,53.8
Asia,Japan,Tokyo,29,58.4
Asia,Japan,Tokyo,30,51.5
Europe,Finland,Helsinki,1,29.6
Europe,Finland,Helsinki,2,29.5
Europe,Finland,Helsinki,3,35.1
Europe,Finland,Helsinki,4,44.5
Europe,Finland,Helsinki,5,45.5
Europe,Finland,Helsinki,6,43.8
Europe,Finland,Helsinki,7,36.0
Europe,Finland,Helsinki,8,38.6
Europe,Finland,Helsinki,9,42.4
Europe,Finland,Helsinki,10,43.0
Europe,Finland,Helsinki,11,40.5
Europe,Finland,Helsinki,12,35.7
Europe,Finland,Helsinki,13,34.6
Europe,Finland,Helsinki,14,33.1
Europe,Finland,Helsinki,15,34.4
Europe,Finland,Helsinki,16,36.1
Europe,Finland,Helsinki,17,40.6
Europe,Finland,Helsinki,18,39.8
Europe,Finland,Helsinki,19,37.2
Europe,Finland,Helsinki,20,33.0
Europe,Finland,Helsinki,21,32.4
Europe,Finland,Helsinki,22,32.3
Europe,Finland,Helsinki,23,33.5
Europe,Finland,Helsinki,24,41.9
Europe,Finland,Helsinki,25,36.0
Europe,Finland,Helsinki,26,33.9
Europe,Finland,Helsinki,27,38.8
Europe,Finland,Helsinki,28,37.0
Europe,Finland,Helsinki,29,35.3
Europe,Finland,Helsinki,30,35.7
North America,US,Miami Beach,1,74.6
North America,US,Miami Beach,2,76.8
North America,US,Miami Beach,3,77.4
North America,US,Miami Beach,4,77.4
North America,US,Miami Beach,5,77.2
North America,US,Miami Beach,6,78.6
North America,US,Miami Beach,7,78.8
North America,US,Miami Beach,8,79.0
North America,US,Miami Beach,9,80.0
North America,US,Miami Beach,10,80.2
North America,US,Miami Beach,11,79.1
North America,US,Miami Beach,12,80.8
North America,US,Miami Beach,13,79.2
North America,US,Miami Beach,14,79.7
North America,US,Miami Beach,15,75.4
North America,US,Miami Beach,16,75.0
North America,US,Miami Beach,17,73.8
North America,US,Miami Beach,18,75.1
North America,US,Miami Beach,19,75.2
North America,US,Miami Beach,20,74.5
North America,US,Miami Beach,21,74.4
North America,US,Miami Beach,22,77.3
North America,US,Miami Beach,23,77.4
North America,US,Miami Beach,24,75.9
North America,US,Miami Beach,25,72.1
North America,US,Miami Beach,26,73.5
North America,US,Miami Beach,27,73.1
North America,US,Miami Beach,28,77.5
North America,US,Miami Beach,29,77.7
North America,US,Miami Beach,30,78.0
